Zipcode	Average_Household_Size	Prevelance	COUNTYNAME
33825	2.85	6.794095382	Hardee
33825	2.85	6.794095382	Highlands
33825	2.85	6.794095382	Polk
33825	2.85	0.272520818	Hardee
33825	2.85	0.272520818	Highlands
33825	2.85	0.272520818	Polk
33830	3.05	9.140008309	Polk
33837	3.14	10.0639812	Polk
33843	2.95	7.931472081	Polk
33844	3.12	10.61823929	Polk
33850	2.74	7.364247958	Polk
33852	2.6500000000000004	6.204085502	Highlands
33853	3.23	8.120868744	Polk
33860	3.37	6.719220615	Polk
33870	2.72	8.719260456	Highlands
33872	2.41	5.740124348	Highlands
33873	3.37	11.30490044	Hardee
33875	2.58	5.502516924	Highlands
33880	3.09	7.944421136	Polk
33881	2.96	10.9842749	Polk
33884	2.82	7.536150411	Polk
33897	3.24	7.739978903	Polk
33898	2.8899999999999997	0	Osceola
33898	2.8899999999999997	0	Polk
33898	2.8899999999999997	5.108971709	Osceola
33898	2.8899999999999997	5.108971709	Polk
33901	2.91	9.258565812	Lee
33903	2.51	5.596504392	Lee
33904	2.4899999999999998	6.549572155	Lee
33905	3.08	7.516270138	Lee
33907	2.95	7.712145401	Lee
33908	2.42	7.901295429	Lee
33909	3.02	8.088188976	Lee
33912	2.4499999999999997	14.48031749	Lee
33913	2.7	6.757657764	Lee
33914	2.66	7.222904313	Lee
33916	3.18	9.772353154	Lee
33917	2.61	0.013311591	Charlotte
33917	2.61	0.013311591	Lee
33917	2.61	5.194848414	Charlotte
33917	2.61	5.194848414	Lee
33919	2.4499999999999997	6.317177712	Lee
33928	2.5100000000000002	6.853347122	Lee
33935	3.59	0.110577128	Glades
33935	3.59	0.110577128	Hendry
33935	3.59	7.931782418	Glades
33935	3.59	7.931782418	Hendry
33947	2.3	4.980211082	Charlotte
33948	2.6500000000000004	5.863800958	Charlotte
33950	2.24	5.605390789	Charlotte
33952	2.74	5.558550464	Charlotte
33957	2.18	3.101516601	Lee
33966	2.46	11.90263289	Lee
33967	2.92	8.567790203	Lee
33971	3.5700000000000003	8.668265273	Lee
33972	3.2	6.54850145	Lee
33974	3.46	7.169003773	Lee
33976	3.58	8.078925733	Lee
33980	2.62	6.82806176	Charlotte
33981	2.48	5.373893223	Charlotte
33982	2.54	5.081320373	Charlotte
33983	2.68	6.649006623	Charlotte
33991	3.02	9.291170723	Lee
33993	3.2	8.03081885	Lee
34104	2.61	8.258564437	Collier
34105	2.5700000000000003	5.574371218	Collier
34108	2.44	5.683890578	Collier
34109	2.55	7.649169106	Collier
34110	2.52	6.428214107	Collier
34110	2.52	6.428214107	Lee
34110	2.52	0.016675004	Collier
34110	2.52	0.016675004	Lee
34112	2.5300000000000002	6.795004434	Collier
34113	2.96	8.892897407	Collier
34114	2.42	7.265543544	Collier
34116	3.46	9.279720861	Collier
34117	3.24	7.171782382	Collier
34135	2.67	6.210406284	Lee
34142	3.8000000000000003	11.11220279	Collier
34142	3.8000000000000003	11.11220279	Hendry
34142	3.8000000000000003	0	Collier
34142	3.8000000000000003	0	Hendry
34145	2.3600000000000003	4.110126724	Collier
34202	2.69	6.425295288	Manatee
34203	2.77	8.052141336	Manatee
34205	2.94	8.04483805	Manatee
34207	2.8800000000000003	6.896836768	Manatee
34208	3.15	9.649251183	Manatee
34209	2.62	6.536449448	Manatee
34210	2.52	7.319888227	Manatee
34212	2.88	7.861043118	Manatee
34219	2.8800000000000003	7.680808081	Manatee
34221	3.0100000000000002	9.720214854	Manatee
34223	2.4	0.021815009	Charlotte
34223	2.4	0.021815009	Sarasota
34223	2.4	3.779450262	Charlotte
34223	2.4	3.779450262	Sarasota
34224	2.54	5.346486421	Charlotte
34224	2.54	5.346486421	Sarasota
34224	2.54	0	Charlotte
34224	2.54	0	Sarasota
34228	2.12	2.993272003	Manatee
34228	2.12	2.993272003	Sarasota
34228	2.12	0.096114239	Manatee
34228	2.12	0.096114239	Sarasota
34231	2.65	6.308295705	Sarasota
34232	2.79	7.128263337	Sarasota
34233	2.68	6.709067372	Sarasota
34234	2.95	8.831843881	Sarasota
34235	2.74	6.750310397	Sarasota
34237	2.98	9.722760224	Sarasota
34238	2.32	5.691056911	Sarasota
34239	2.69	7.947314838	Sarasota
34240	2.97	0.034958923	Manatee
34240	2.97	0.034958923	Sarasota
34240	2.97	8.145429121	Manatee
34240	2.97	8.145429121	Sarasota
34241	2.8100000000000005	4.862538541	Sarasota
34242	2.34	5.519089082	Sarasota
34243	2.6	5.940252657	Manatee
34243	2.6	5.940252657	Sarasota
34243	2.6	0.235102348	Manatee
34243	2.6	0.235102348	Sarasota
34266	3.3400000000000003	10.49055199	Desoto
34266	3.3400000000000003	10.49055199	Sarasota
34266	3.3400000000000003	0	Desoto
34266	3.3400000000000003	0	Sarasota
34275	2.54	4.630715123	Sarasota
34285	2.28	5.162708412	Sarasota
34287	2.73	4.45935556	Sarasota
34292	2.33	5.552669178	Sarasota
34293	2.44	4.879344362	Sarasota
34420	2.83	6.338385261	Marion
34432	2.58	5.381519766	Marion
34436	2.68	4.211041743	Citrus
34442	2.4899999999999998	6.121203905	Citrus
34446	2.58	5.437149078	Citrus
34452	2.8600000000000003	9.048139125	Citrus
34453	2.86	6.487148103	Citrus
34470	2.95	7.593210064	Marion
34471	3.02	11.33131266	Marion
34472	3.2800000000000002	7.293261868	Marion
34476	2.63	6.903217492	Marion
34480	3.1100000000000003	8.614759225	Marion
34481	2.31	5.566951295	Marion
34491	2.46	6.417674908	Marion
34601	2.74	6.679414773	Hernando
34604	3.25	5.353743655	Hernando
34606	2.7199999999999998	6.225881142	Hernando
34608	3.0300000000000002	5.447962761	Hernando
34609	2.9699999999999998	6.675823525	Hernando
34610	3.2	4.803374609	Pasco
34613	2.58	6.170497657	Hernando
34638	3.31	7.350833654	Pasco
34639	3.01	6.164313659	Pasco
34652	2.67	6.209895306	Pasco
34653	2.79	6.583208049	Pasco
34654	2.98	6.5053411820000004	Pasco
34655	2.79	7.1121513180000004	Pasco
34667	2.66	5.851767252	Pasco
34668	2.96	5.466705438	Pasco
34669	2.9000000000000004	5.960613349	Pasco
34677	2.86	5.737741892	Pinellas
34683	2.8400000000000003	5.323148535	Pinellas
34684	2.67	5.765264026	Pinellas
34685	2.7399999999999998	5.556172908	Pinellas
34688	2.72	6.905817547	Pinellas
34689	2.81	6.598651849	Pinellas
34690	2.7	6.749649369	Pasco
34691	2.8	5.973243817	Pasco
34695	2.7399999999999998	5.603307584	Pinellas
34698	2.66	5.358987603	Pinellas
34711	3.0700000000000003	6.887034451	Lake
34731	2.64	4.468972944	Lake
34741	3.23	13.39132257	Osceola
34743	3.43	9.262009798	Osceola
