Zipcode	Proportion	Prevelance	COUNTYNAME
33598	17	0.0199471400787912	Hillsborough
33598	17	0.0199471400787912	Manatee
33602	28.000000000000004	11.26652123700757	Hillsborough
33603	33	7.296639520733876	Hillsborough
33604	36	6.82001817998182	Hillsborough
33605	55.00000000000001	8.382894364202775	Hillsborough
33607	38	13.328412073490814	Hillsborough
33609	21.000000000000004	8.553383786138182	Hillsborough
33610	40	7.487339473065664	Hillsborough
33611	20	7.375264590263078	Hillsborough
33612	46	6.760073437047058	Hillsborough
33613	44	8.80066170388751	Hillsborough
33614	34	11.284141867101509	Hillsborough
33615	26	9.521805017679744	Hillsborough
33617	35	5.893636306148689	Hillsborough
33618	18	6.792921906990348	Hillsborough
33619	34	8.717449865309787	Hillsborough
33624	15	7.039670376604779	Hillsborough
33625	19	8.23292437282549	Hillsborough
33626	11	5.975343980743584	Hillsborough
33629	13.999999999999998	7.246591035068918	Hillsborough
33634	22	9.406223865487037	Hillsborough
33647	12.000000000000002	5.003943439806209	Hillsborough
33701	37	11.838758901322482	Pinellas
33702	24	6.249414410193947	Pinellas
33703	16	6.155881551811355	Pinellas
33704	13.999999999999998	5.3821693557884815	Pinellas
33705	32	8.701528225387255	Pinellas
33706	19	6.029042338092029	Pinellas
33707	31	6.504623087172447	Pinellas
33708	23	5.6208418827333215	Pinellas
33709	36.00000000000001	7.059588122994436	Pinellas
33710	20	6.510431885921338	Pinellas
33712	33	8.557684533915435	Pinellas
33713	25	6.37442809447261	Pinellas
33714	35	5.35991950974115	Pinellas
33716	19	7.932244271461462	Pinellas
33755	39	7.360234445446348	Pinellas
33756	34	8.836949162520973	Pinellas
33759	25	6.8490897126562835	Pinellas
33760	25	6.806645131518228	Pinellas
33761	26	5.2440133373749624	Pinellas
33763	33	5.0076026355803345	Pinellas
33764	23	6.526354319180087	Pinellas
33765	30.000000000000004	7.236842105263158	Pinellas
33767	18	7.353730542136338	Pinellas
33770	32	5.873737184061291	Pinellas
33771	32	6.300016466326362	Pinellas
33772	27	6.261621621621622	Pinellas
33773	28.000000000000004	7.473714123330491	Pinellas
33774	26	6.13361330607283	Pinellas
33776	11	5.8645841007883295	Pinellas
33777	24.000000000000004	7.6725579173632665	Pinellas
33778	30	6.946920861335894	Pinellas
33781	37	6.879626649501127	Pinellas
33782	28.000000000000004	6.505140127116836	Pinellas
33785	19	5.541237113402062	Pinellas
33801	42.00000000000001	6.499854524294443	Polk
33803	26	6.4969450101833	Polk
33805	43.00000000000001	9.784950448509539	Polk
33809	24	7.651497676870861	Polk
33810	20	0.007821818964000079	Hillsborough
33810	20	0.007821818964000079	Polk
33810	20	7.164786171024072	Hillsborough
33810	20	7.164786171024072	Polk
33811	16	7.8993406001884	Polk
33813	12	6.934631286962893	Polk
33815	46	7.446527594401902	Polk
33823	30.000000000000004	7.321136397441618	Polk
33825	39	0	Hardee
33825	39	0	Highlands
33825	39	0	Polk
33825	39	6.794095382286147	Hardee
33825	39	6.794095382286147	Highlands
33825	39	6.794095382286147	Polk
33825	39	0.27252081756245267	Hardee
33825	39	0.27252081756245267	Highlands
33825	39	0.27252081756245267	Polk
33830	31	9.140008309098462	Polk
33837	23	10.063981197362407	Polk
33843	37	7.931472081218274	Polk
33844	35	10.618239285033106	Polk
33850	27	7.364247957712639	Polk
33852	34	6.2040855016825445	Highlands
33853	41	8.120868744098205	Polk
33860	25	6.719220615029934	Polk
33870	45	8.719260455932508	Highlands
33872	29.000000000000004	5.740124348426804	Highlands
33873	40	11.304900437791272	Hardee
33875	24.000000000000004	5.502516924145113	Highlands
33880	32	7.944421135763468	Polk
33881	36	10.984274898078043	Polk
33884	21	7.536150410693651	Polk
33897	17	7.739978902953587	Polk
33898	32	0	Osceola
33898	32	0	Polk
33898	32	5.108971708700018	Osceola
33898	32	5.108971708700018	Polk
33901	40	9.25856581164576	Lee
33903	31	5.596504391578762	Lee
33904	26	6.549572154667696	Lee
33905	27	7.516270137629361	Lee
33907	32	7.712145400957877	Lee
33908	25	7.901295429025279	Lee
33909	23	8.088188976377953	Lee
33912	15	14.480317494368766	Lee
33913	13	6.75765776365847	Lee
33914	16	7.222904312844491	Lee
33916	41	9.772353153731883	Lee
33917	30	0.013311591067922393	Charlotte
33917	30	0.013311591067922393	Lee
33917	30	5.194848414256715	Charlotte
33917	30	5.194848414256715	Lee
33919	22	6.317177711836465	Lee
33928	14.000000000000002	6.85334712223062	Lee
33935	35	0.11057712754646365	Glades
33935	35	0.11057712754646365	Hendry
33935	35	7.93178241823672	Glades
33935	35	7.93178241823672	Hendry
33947	25	4.980211081794195	Charlotte
33948	29.000000000000004	5.863800957832029	Charlotte
33950	22	5.605390789304262	Charlotte
33952	35	5.558550464210842	Charlotte
33957	18	3.101516600628501	Lee
33966	16	11.902632886239443	Lee
33967	18	8.567790202554818	Lee
33971	23	8.668265273254358	Lee
33972	20	6.548501450209475	Lee
33974	26	7.169003773159881	Lee
33976	20	8.078925733077554	Lee
33980	28.999999999999996	6.8280617598560935	Charlotte
33981	19	5.373893223459279	Charlotte
33982	34	5.081320373400057	Charlotte
33983	21.000000000000004	6.6490066225165565	Charlotte
33991	15	9.291170723041393	Lee
33993	18	8.030818849668519	Lee
34104	23	8.258564437194128	Collier
34105	15	5.574371217589251	Collier
34108	15	5.683890577507598	Collier
34109	18	7.649169106428601	Collier
34110	18	6.4282141070535275	Collier
34110	18	6.4282141070535275	Lee
34110	18	0.01667500416875104	Collier
34110	18	0.01667500416875104	Lee
34112	22	6.795004433934378	Collier
34113	19	8.892897406989855	Collier
34114	22	7.265543543873128	Collier
34116	21.000000000000004	9.279720860679571	Collier
34117	10	7.171782381595164	Collier
34135	18	6.210406284314553	Lee
34142	42.00000000000001	11.11220279033209	Collier
34142	42.00000000000001	11.11220279033209	Hendry
34142	42.00000000000001	0	Collier
34142	42.00000000000001	0	Hendry
34145	16	4.110126724234608	Collier
34202	12	6.425295287575598	Manatee
34203	23	8.05214133586513	Manatee
34205	35	8.044838050411842	Manatee
34207	35	6.896836768433815	Manatee
34208	32	9.649251182984536	Manatee
34209	19	6.536449448424883	Manatee
34210	24	7.319888227432876	Manatee
34212	9	7.861043118056863	Manatee
34219	10	7.680808080808081	Manatee
34221	22	9.720214854283064	Manatee
34223	25	0.02181500872600349	Charlotte
34223	25	0.02181500872600349	Sarasota
34223	25	3.779450261780105	Charlotte
34223	25	3.779450261780105	Sarasota
34224	31	5.346486420655219	Charlotte
34224	31	5.346486420655219	Sarasota
34224	31	0	Charlotte
34224	31	0	Sarasota
34228	15	2.993272003295345	Manatee
34228	15	2.993272003295345	Sarasota
34228	15	0.09611423863792394	Manatee
34228	15	0.09611423863792394	Sarasota
34231	26	6.308295705481032	Sarasota
34232	20	7.128263337116912	Sarasota
34233	17	6.709067372094332	Sarasota
34234	39	8.831843881086996	Sarasota
34235	18	6.750310396654251	Sarasota
34237	30	9.722760223562615	Sarasota
34238	19	5.691056910569105	Sarasota
34239	21	7.947314838381267	Sarasota
34240	12	0.03495892326516343	Manatee
34240	12	0.03495892326516343	Sarasota
34240	12	8.14542912078308	Manatee
34240	12	8.14542912078308	Sarasota
34241	14.000000000000002	4.862538540596095	Sarasota
34242	13	5.519089082384461	Sarasota
34243	17	5.940252656656531	Manatee
34243	17	5.940252656656531	Sarasota
34243	17	0.2351023478887809	Manatee
34243	17	0.2351023478887809	Sarasota
34266	44	10.490551987340593	Desoto
34266	44	10.490551987340593	Sarasota
34266	44	0	Desoto
34266	44	0	Sarasota
34275	20	4.6307151230949595	Sarasota
34285	25	5.162708411515574	Sarasota
34287	24	4.459355560215279	Sarasota
34292	21.000000000000004	5.552669177815301	Sarasota
34293	19	4.879344361815146	Sarasota
34420	30	6.338385261141473	Marion
34432	33	5.3815197664325725	Marion
34436	41	4.211041743175419	Citrus
34442	34	6.121203904555315	Citrus
34446	30	5.437149077575341	Citrus
34452	31	9.048139124590438	Citrus
34453	38	6.487148102815178	Citrus
34470	38	7.593210063655653	Marion
34471	31	11.331312660293774	Marion
34472	30	7.293261868300154	Marion
34476	22	6.903217492160316	Marion
34480	22	8.614759224515323	Marion
34481	31	5.566951295139055	Marion
34491	28.000000000000004	6.417674907943188	Marion
34601	40	6.6794147729799445	Hernando
34604	27	5.353743654822335	Hernando
34606	31.000000000000007	6.225881142269102	Hernando
34608	29.000000000000004	5.447962760760876	Hernando
34609	22	6.675823525232671	Hernando
34610	23	4.803374608790312	Pasco
34613	31	6.170497656773042	Hernando
34638	13	7.350833653745324	Pasco
34639	12	6.164313658785508	Pasco
34652	39	6.209895305639987	Pasco
34653	35	6.583208049034347	Pasco
34654	26	6.5053411816001745	Pasco
34655	19	7.1121513183034	Pasco
34667	35	5.851767251743207	Pasco
34668	37	5.466705437627217	Pasco
34669	31	5.960613349368611	Pasco
